"Probe	Sample_Type	Disease_State		Sample_ID	Expression_Value"
"ILMN_1679060	hONS	SZ	donor	6	5.3035938678"
"ILMN_1679060	hONS	SZ	donor	7	5.5400154491"
"ILMN_1679060	hONS	SZ	donor	9	4.3026098787"
"ILMN_1679060	hONS	control	donor	1	4.8318388181"
"ILMN_1679060	hONS	control	donor	10	4.8409763047"
"ILMN_1679060	hONS	control	donor	11	4.5796852082"
"ILMN_1679060	hONS	control	donor	12	5.4788768959"
"ILMN_1679060	hONS	control	donor	13	4.6523897869"
"ILMN_1679060	hONS	control	donor	15	4.5730041887"
"ILMN_1679060	hONS	control	donor	2	5.2307140489"
"ILMN_1679060	hONS	control	donor	27	4.8708172149"
"ILMN_1679060	hONS	control	donor	29	4.9155235889"
"ILMN_1679060	hONS	control	donor	4	4.7603393769"
"ILMN_1679060	hONS	control	donor	5	4.5882560006"
"ILMN_1679060	hONS	control	donor	7	4.7277121347"
"ILMN_1679060	hONS	control	donor	8	4.6498969557"
"ILMN_1679060	hONS	control	donor	9	4.7747850062"
"ILMN_1705546	fibroblast	SZ	donor	1	3.0621320654"
"ILMN_1705546	fibroblast	SZ	donor	10	3.5401338496"
"ILMN_1705546	fibroblast	SZ	donor	2	3.5560570266"
"ILMN_1705546	fibroblast	SZ	donor	3	3.1355995427"
"ILMN_1705546	fibroblast	SZ	donor	4	3.3149906241"
"ILMN_1705546	fibroblast	SZ	donor	5	3.6775801951"
"ILMN_1705546	fibroblast	SZ	donor	6	3.4204576169"
"ILMN_1705546	fibroblast	SZ	donor	7	3.4511928286"
"ILMN_1705546	fibroblast	SZ	donor	8	3.438317885"
"ILMN_1705546	fibroblast	control	donor	1	3.8328826284"
"ILMN_1705546	fibroblast	control	donor	11	3.6176954556"
"ILMN_1705546	fibroblast	control	donor	12	3.3983434165"
"ILMN_1705546	fibroblast	control	donor	4	3.6440679218"
"ILMN_1705546	fibroblast	control	donor	5	3.5774583988"
"ILMN_1705546	fibroblast	control	donor	6	3.3288810169"
"ILMN_1705546	fibroblast	control	donor	7	3.8124542744"
"ILMN_1705546	fibroblast	control	donor	8	3.2278187899"
"ILMN_1705546	fibroblast	control	donor	9	3.4742472779"
"ILMN_1705546	hONS	PD	donor	10	3.5782067437"
"ILMN_1705546	hONS	PD	donor	11	3.6882945278"
"ILMN_1705546	hONS	PD	donor	12	3.2666045823"
"ILMN_1705546	hONS	PD	donor	13	3.54801287"
"ILMN_1705546	hONS	PD	donor	14	3.2082783707"
"ILMN_1705546	hONS	PD	donor	15	3.6314646214"
"ILMN_1705546	hONS	PD	donor	16	3.3666543817"
"ILMN_1705546	hONS	PD	donor	17	3.5771776742"
"ILMN_1705546	hONS	PD	donor	2	3.1364616014"
"ILMN_1705546	hONS	PD	donor	22	2.9811585274"
"ILMN_1705546	hONS	PD	donor	24	3.2177498513"
"ILMN_1705546	hONS	PD	donor	27	3.5883620398"
"ILMN_1705546	hONS	PD	donor	29	3.4263315108"
"ILMN_1705546	hONS	PD	donor	3	3.365195107"
"ILMN_1705546	hONS	PD	donor	30	3.5784972401"
"ILMN_1705546	hONS	PD	donor	32	3.3976570138"
"ILMN_1705546	hONS	PD	donor	34	3.8604190395"
"ILMN_1705546	hONS	PD	donor	6	3.7354604257"
"ILMN_1705546	hONS	PD	donor	8	3.9364110841"
"ILMN_1705546	hONS	SZ	donor	1	3.2766569763"
"ILMN_1705546	hONS	SZ	donor	10	3.257833738"
"ILMN_1705546	hONS	SZ	donor	15	3.6113789051"
