"Probe and Sample ID","Expression Value","Standard Deviation"
"ILMN_1679060 - hONS_PD_donor_13","6.11988291293","0.347375096341"
"ILMN_1679060 - hONS_PD_donor_14","5.24484579138","0.471260734085"
"ILMN_1679060 - hONS_PD_donor_15","5.3577077716","0.192682295777"
"ILMN_1679060 - hONS_PD_donor_16","5.20359990954","0.429000485309"
"ILMN_1679060 - hONS_PD_donor_17","4.98814136346","0.508970204324"
"ILMN_1679060 - hONS_PD_donor_2","4.57456167775","0.784884239746"
"ILMN_1679060 - hONS_PD_donor_22","4.31605156209","0.485771680157"
"ILMN_1679060 - hONS_PD_donor_24","3.96989008006","0.0"
"ILMN_1679060 - hONS_PD_donor_27","4.87032466002","0.929555850931"
"ILMN_1679060 - hONS_PD_donor_29","5.06139318224","0.994971169038"
"ILMN_1679060 - hONS_PD_donor_3","4.56675780314","0.842819812839"
"ILMN_1679060 - hONS_PD_donor_30","4.58875741885","1.08671964708"
"ILMN_1679060 - hONS_PD_donor_32","4.86701675325","0.243318855699"
"ILMN_1679060 - hONS_PD_donor_34","4.31733779462","0.480055208462"
"ILMN_1679060 - hONS_PD_donor_6","4.46357612224","0.343831436075"
"ILMN_1679060 - hONS_PD_donor_8","4.85993934956","0.93094257471"
"ILMN_1679060 - hONS_SZ_donor_1","5.09983391816","0.306439721571"
"ILMN_1679060 - hONS_SZ_donor_10","5.10855967722","0.625602907441"
"ILMN_1679060 - hONS_SZ_donor_15","4.58102064338","0.294591196037"
"ILMN_1679060 - hONS_SZ_donor_2","4.79162535296","0.312278825409"
"ILMN_1679060 - hONS_SZ_donor_3","4.2759960207","0.605122113773"
"ILMN_1679060 - hONS_SZ_donor_5","5.60275728301","0.79403150745"
"ILMN_1679060 - hONS_SZ_donor_6","5.30359386775","1.07229965473"
"ILMN_1679060 - hONS_SZ_donor_7","5.54001544911","0.538569167679"
"ILMN_1679060 - hONS_SZ_donor_9","4.30260987869","0.0643404020092"
"ILMN_1679060 - hONS_control_donor_1","4.83183881814","0.968322407686"
"ILMN_1679060 - hONS_control_donor_10","4.84097630472","0.806250584188"
"ILMN_1679060 - hONS_control_donor_11","4.57968520822","0.0762330766603"
"ILMN_1679060 - hONS_control_donor_12","5.47887689593","0.417050921772"
"ILMN_1679060 - hONS_control_donor_13","4.65238978694","0.563133248525"
"ILMN_1679060 - hONS_control_donor_15","4.57300418868","0.272121072291"
"ILMN_1679060 - hONS_control_donor_2","5.2307140489","0.962981882964"
"ILMN_1679060 - hONS_control_donor_27","4.87081721493","0.123248489477"
"ILMN_1679060 - hONS_control_donor_29","4.91552358893","0.908365962205"
"ILMN_1679060 - hONS_control_donor_4","4.76033937692","0.909019459998"
"ILMN_1679060 - hONS_control_donor_5","4.58825600059","0.338195461588"
"ILMN_1679060 - hONS_control_donor_7","4.72771213468","0.591246025623"
"ILMN_1679060 - hONS_control_donor_8","4.64989695571","0.0479587693709"
"ILMN_1679060 - hONS_control_donor_9","4.77478500623","0.200012787494"
"ILMN_1705546 - fibroblast_SZ_donor_1","3.06213206537","0.192156371307"
"ILMN_1705546 - fibroblast_SZ_donor_10","3.54013384962","0.0497232743476"
"ILMN_1705546 - fibroblast_SZ_donor_2","3.55605702663","0.105584654859"
"ILMN_1705546 - fibroblast_SZ_donor_3","3.13559954273","0.0449361581497"
"ILMN_1705546 - fibroblast_SZ_donor_4","3.31499062407","0.0734266303174"
"ILMN_1705546 - fibroblast_SZ_donor_5","3.67758019507","0.287165193106"
"ILMN_1705546 - fibroblast_SZ_donor_6","3.42045761689","0.18312272331"
"ILMN_1705546 - fibroblast_SZ_donor_7","3.45119282858","0.0299053021422"
"ILMN_1705546 - fibroblast_SZ_donor_8","3.43831788504","0.230864575806"
"ILMN_1705546 - fibroblast_control_donor_1","3.83288262839","0.191986996658"
"ILMN_1705546 - fibroblast_control_donor_11","3.61769545562","0.437521302159"
"ILMN_1705546 - fibroblast_control_donor_12","3.39834341654","0.0431427353925"
"ILMN_1705546 - fibroblast_control_donor_4","3.64406792183","0.215938931297"
"ILMN_1705546 - fibroblast_control_donor_5","3.57745839882","0.473325297852"
"ILMN_1705546 - fibroblast_control_donor_6","3.32888101693","0.184940292276"
"ILMN_1705546 - fibroblast_control_donor_7","3.81245427439","0.30884943523"
